Time Stamp	Hip Pitch	Hip Roll	Hip Yaw	Knee Pitch	Knee Roll	Knee Yaw	Ankle Pitch	Ankle Roll	Ankle Yaw	Hjoint X	Hjoint Y	Hjoint Z	Kjoint X	Kjoint Y	Kjoint Z	Ajoint X	Ajoint Y	Ajoint Z	Ankle Path x	Ankle Path y	Ankle Path y	Hip OffPitch	Hip OffRoll	Hip OffYaw	Knee OffPitch	Knee OffRoll	Knee OffYaw	Ankle OffPitch	Ankle OffRoll	Ankle OffYaw	
6.7645	-0.047	0.000	-0.047	0.394	0.053	-0.307	NaN	14.087	-0.074	0.055	0.000	-0.078	0.055	0.000	-0.078	0.055	0.000	-0.078	-0.005	0.000	-0.001	-0.024	-0.010	-0.040	-0.094	-0.026	-0.022	NaN	-4.428	-0.216	
6.7728	-0.020	-0.004	0.072	0.368	0.048	-0.394	NaN	13.249	-0.083	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	-0.004	0.000	-0.001										
6.7811	-0.020	-0.004	0.072	0.368	0.048	-0.394	NaN	13.249	-0.083	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	-0.004	0.000	-0.001										
6.7894	0.038	0.000	0.071	0.319	0.045	-0.340	NaN	11.443	-0.012	0.053	0.000	-0.078	0.053	0.000	-0.078	0.053	0.000	-0.078	-0.002	0.000	-0.001										
6.7977	0.038	0.000	0.071	0.319	0.045	-0.340	NaN	11.443	-0.012	0.053	0.000	-0.078	0.053	0.000	-0.078	0.053	0.000	-0.078	-0.002	0.000	-0.001										
6.806	-0.013	-0.006	0.082	0.352	0.044	-0.408	NaN	13.542	-0.079	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	-0.004	0.000	-0.001										
6.8143	-0.013	-0.006	0.082	0.352	0.044	-0.408	NaN	13.542	-0.079	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	-0.004	0.000	-0.001										
6.8226	-0.013	0.008	-0.060	0.343	0.054	-0.301	NaN	13.483	-0.022	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	-0.004	0.000	-0.001										
6.8309	-0.013	0.008	-0.060	0.343	0.054	-0.301	NaN	13.483	-0.022	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	-0.004	0.000	-0.001										
6.8392	-0.022	0.011	0.064	0.128	0.020	-0.172	NaN	2.774	-0.008	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	-0.001	0.000	0.000										
6.8475	-0.022	0.011	0.064	0.128	0.020	-0.172	NaN	2.774	-0.008	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	-0.001	0.000	0.000										
6.8558	0.007	-0.002	0.073	0.045	0.027	0.112	NaN	0.941	0.226	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	0.000	0.000	0.001										
6.8641	0.007	-0.002	0.073	0.045	0.027	0.112	NaN	0.941	0.226	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	0.000	0.000	0.001										
6.8724	-0.055	0.001	0.115	0.217	0.030	-0.263	NaN	9.222	0.085	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	-0.003	0.000	0.000										
6.8807	-0.055	0.001	0.115	0.217	0.030	-0.263	NaN	9.222	0.085	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	-0.003	0.000	0.000										
6.889	0.012	-0.006	0.099	0.470	0.066	-0.536	NaN	14.127	-0.235	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	-0.005	0.000	-0.001										
6.8973	0.012	-0.006	0.099	0.470	0.066	-0.536	NaN	14.127	-0.235	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	-0.005	0.000	-0.001										
6.9056	-0.045	-0.008	0.017	-0.014	0.007	0.044	NaN	2.876	0.235	0.054	0.000	-0.078	0.054	0.000	-0.078	0.054	0.000	-0.078	0.000	0.000	0.000										
